amenity,score
college,3
school,3
university,3
dormitory,3
apartments,5
bungalow,5
residential,5
house,5
hotel,7
commercial,9
industrial,9
office,7
retail,7
warehouse,7
service,7
construction,9
farm,5
barn,5
cowshed,5
farm_auxiliary,5
greenhouse,5
slurry_tank,5
stable,5
sty,5
digester,5
paved,8
unpaved,8
asphalt,8
concrete,8
paving_stones,8
sett,8
cobblestone,8
metal,8
wood,8
compacted,8
fine_gravel,8
gravel,8
pebblestone,8
plastic,8
grass_paved,8
grass,8
dirt,8
earth,8
mud,8
sand,8
ground,8
commercial,10
construction,10
industrial,10
residential,5
retail,8
allotments,8
farmland,8
farmyard,8
basin,8
landfill,8
quarry,8
reservoir,8
wastewater_plant,10
water_works,10
works,10
wetland,5
